collected_at,tuerkheim_q_m3s,tuerkheim_time,oberhausen_q_m3s,oberhausen_q_time,oberhausen_w_cm,oberhausen_w_time,rain_kempten_mm,rain_marktoberdorf_mm,rain_augsburg_mm,temp_kempten_c,forecast_rain_kempten_24h_mm,forecast_rain_kempten_6h_mm,biessenhofen_q_m3s,biessenhofen_q_time,biessenhofen_w_cm,biessenhofen_w_time,gruentensee_w_mnn,gruentensee_w_time,rain_oberjoch_mm,rain_kaufbeuren_mm,temp_oberjoch_c,forecast_rain_oberjoch_24h_mm,forecast_rain_oberjoch_6h_mm,singold_q_m3s,singold_q_time,singold_w_cm,singold_w_time,rain_bobingen_mm,hnd_rain_hindelang_mm,hnd_rain_hindelang_time,hnd_rain_buchloe_mm,hnd_rain_buchloe_time,hnd_rain_schwabmuenchen_mm,hnd_rain_schwabmuenchen_time,forecast_rain_nesselwang_6h_mm,forecast_rain_nesselwang_24h_mm,forecast_rain_marktoberdorf_6h_mm,forecast_rain_marktoberdorf_24h_mm,forecast_rain_bad_woerishofen_6h_mm,forecast_rain_bad_woerishofen_24h_mm,forecast_rain_tuerkheim_6h_mm,forecast_rain_tuerkheim_24h_mm,forecast_rain_schwabmuenchen_6h_mm,forecast_rain_schwabmuenchen_24h_mm,forecast_rain_bobingen_6h_mm,forecast_rain_bobingen_24h_mm,soil_moist_oberjoch_0_to_7cm,soil_moist_oberjoch_7_to_28cm,soil_moist_oberjoch_28_to_100cm,soil_moist_oberjoch_100_to_255cm,soil_moist_kaufbeuren_0_to_7cm,soil_moist_kaufbeuren_7_to_28cm,soil_moist_kaufbeuren_28_to_100cm,soil_moist_kaufbeuren_100_to_255cm,soil_moisture_time,tuerkheim_w_cm,tuerkheim_w_time,haslach_q_m3s,haslach_q_time,haslach_w_cm,haslach_w_time,wertach_q_m3s,wertach_q_time,wertach_w_cm,wertach_w_time,sebastianskapelle_q_m3s,sebastianskapelle_q_time,sebastianskapelle_w_cm,sebastianskapelle_w_time,thalhofen_q_m3s,thalhofen_q_time,thalhofen_w_cm,thalhofen_w_time,forecast_area_rain_start_date,forecast_area_rain_d0_mm,forecast_area_rain_d1_mm,forecast_area_rain_d2_mm,forecast_area_rain_d3_mm,forecast_area_rain_d4_mm,forecast_area_rain_d5_mm,forecast_area_rain_d6_mm,forecast_area_rain_d7_mm,grundwasser_bobingen_ue_nn_m,grundwasser_bobingen_flurabstand_m,grundwasser_bobingen_time
2026-08-22T14:15:00+00:00,4.44,2026-08-22T16:15:00,3.1,2026-08-22T16:15:00,52.0,2026-08-22T16:15:00,0.0,0.1,0.2,18.1,,,2.28,2026-08-22T16:15:00,79.0,2026-08-22T16:15:00,,,0.1,0.0,15.2,,,,,,,0.1,,,,,,,,,,,,,,,,,,,0.319,0.201,0.15,0.333,0.304,0.196,0.155,0.284,,59.0,2026-08-22T16:15:00,0.884,2026-08-22T16:15:00,53.0,2026-08-22T16:15:00,0.659,2026-08-22T16:15:00,23.0,2026-08-22T16:15:00,0.812,2026-08-22T16:15:00,36.0,2026-08-22T16:15:00,2.07,2026-08-22T16:15:00,35.0,2026-08-22T16:15:00,,,,,,,,,,,,
2026-08-22T14:35:29.538643+00:00,4.18,2026-08-22T16:30:00,3.1,2026-08-22T16:30:00,52.0,2026-08-22T16:30:00,0.0,0.0,0.0,18.6,,,2.28,2026-08-22T16:30:00,79.0,2026-08-22T16:30:00,875.46,2026-08-22T16:30:00,0.0,0.0,12.9,0.4,0.4,0.937,2026-08-22T16:30:00,57.0,2026-08-22T16:30:00,0.0,0.0,2026-08-22T16:20:00,0.0,2026-08-22T16:25:00,0.0,2026-08-22T16:25:00,0.1,0.1,0.0,0.0,0.0,0.0,4.699999999999999,4.699999999999999,1.1,1.1,0.1,0.1,0.322,0.197,0.15,0.333,0.307,0.195,0.155,0.284,2026-08-22T14:00,58.0,2026-08-22T16:30:00,0.884,2026-08-22T16:30:00,53.0,2026-08-22T16:30:00,1.36,2026-08-21T23:30:00,32.0,2026-08-21T23:30:00,0.812,2026-08-22T16:30:00,36.0,2026-08-22T16:30:00,2.07,2026-08-22T16:30:00,35.0,2026-08-22T16:30:00,2026-08-22,0.27,0.0,0.03,2.88,0.3,0.15,11.98,3.3,503.23,13.37,2026-08-22T11:00:00
2026-08-22T14:44:25.221302+00:00,4.18,2026-08-22T16:30:00,3.1,2026-08-22T16:30:00,52.0,2026-08-22T16:30:00,0.0,0.0,0.0,18.6,,,2.28,2026-08-22T16:30:00,79.0,2026-08-22T16:30:00,875.46,2026-08-22T16:30:00,0.0,0.0,12.9,0.4,0.4,0.937,2026-08-22T16:30:00,57.0,2026-08-22T16:30:00,0.0,0.0,2026-08-22T16:30:00,0.0,2026-08-22T16:25:00,0.0,2026-08-22T16:35:00,0.1,0.1,0.0,0.0,0.0,0.0,4.699999999999999,4.699999999999999,1.1,1.1,0.1,0.1,0.322,0.197,0.15,0.333,0.307,0.195,0.155,0.284,2026-08-22T14:00,58.0,2026-08-22T16:30:00,0.884,2026-08-22T16:30:00,53.0,2026-08-22T16:30:00,1.36,2026-08-21T23:30:00,32.0,2026-08-21T23:30:00,0.812,2026-08-22T16:30:00,36.0,2026-08-22T16:30:00,2.07,2026-08-22T16:30:00,35.0,2026-08-22T16:30:00,2026-08-22,0.27,0.0,0.03,2.88,0.3,0.15,11.98,3.3,503.23,13.37,2026-08-22T11:00:00
2026-08-22T14:55:29.065121+00:00,4.18,2026-08-22T16:45:00,2.94,2026-08-22T16:45:00,51.0,2026-08-22T16:45:00,0.0,0.0,0.0,18.6,,,2.28,2026-08-22T16:45:00,79.0,2026-08-22T16:45:00,875.46,2026-08-22T16:45:00,0.0,0.0,12.9,0.4,0.4,0.937,2026-08-22T16:45:00,57.0,2026-08-22T16:45:00,0.0,0.0,2026-08-22T16:40:00,0.0,2026-08-22T16:25:00,0.0,2026-08-22T16:45:00,0.1,0.1,0.0,0.0,0.0,0.0,4.699999999999999,4.699999999999999,1.1,1.1,0.1,0.1,0.322,0.197,0.15,0.333,0.307,0.195,0.155,0.284,2026-08-22T14:00,58.0,2026-08-22T16:45:00,0.884,2026-08-22T16:45:00,53.0,2026-08-22T16:45:00,1.36,2026-08-21T23:30:00,32.0,2026-08-21T23:30:00,0.812,2026-08-22T16:45:00,36.0,2026-08-22T16:45:00,2.07,2026-08-22T16:45:00,35.0,2026-08-22T16:45:00,2026-08-22,0.27,0.0,0.03,2.88,0.3,0.15,11.98,3.3,503.23,13.37,2026-08-22T11:00:00
2026-08-22T15:09:53.823706+00:00,4.18,2026-08-22T17:00:00,2.94,2026-08-22T17:00:00,51.0,2026-08-22T17:00:00,0.0,0.0,0.0,18.5,,,2.28,2026-08-22T17:00:00,79.0,2026-08-22T17:00:00,875.46,2026-08-22T17:00:00,0.0,0.0,13.0,0.2,0.2,0.975,2026-08-22T17:00:00,58.0,2026-08-22T17:00:00,0.0,0.0,2026-08-22T16:55:00,0.0,2026-08-22T16:55:00,,,0.1,0.1,0.0,0.0,0.0,0.0,4.6,4.6,0.0,0.0,0.0,0.0,0.319,0.197,0.15,0.333,0.302,0.195,0.155,0.284,2026-08-22T15:00,58.0,2026-08-22T17:00:00,0.884,2026-08-22T17:00:00,53.0,2026-08-22T17:00:00,1.36,2026-08-21T23:30:00,32.0,2026-08-21T23:30:00,0.678,2026-08-22T17:00:00,35.0,2026-08-22T17:00:00,2.23,2026-08-22T17:00:00,36.0,2026-08-22T17:00:00,2026-08-22,0.27,0.0,0.03,2.88,0.3,0.15,11.98,3.3,503.23,13.37,2026-08-22T11:00:00
2026-08-22T15:33:18.482702+00:00,4.18,2026-08-22T17:15:00,2.94,2026-08-22T17:15:00,51.0,2026-08-22T17:15:00,0.0,0.0,0.0,18.4,,,2.28,2026-08-22T17:15:00,79.0,2026-08-22T17:15:00,875.46,2026-08-22T17:15:00,0.0,0.0,13.4,0.2,0.2,0.937,2026-08-22T17:30:00,57.0,2026-08-22T17:30:00,0.0,0.0,2026-08-22T17:20:00,0.0,2026-08-22T17:25:00,0.0,2026-08-22T17:25:00,0.1,0.1,0.0,0.0,0.0,0.0,4.6,4.6,0.0,0.0,0.0,0.0,0.319,0.197,0.15,0.333,0.302,0.195,0.155,0.284,2026-08-22T15:00,58.0,2026-08-22T17:15:00,0.884,2026-08-22T17:15:00,53.0,2026-08-22T17:15:00,1.36,2026-08-21T23:30:00,32.0,2026-08-21T23:30:00,0.678,2026-08-22T17:30:00,35.0,2026-08-22T17:30:00,2.07,2026-08-22T17:30:00,35.0,2026-08-22T17:30:00,2026-08-22,0.27,0.0,0.03,2.88,0.3,0.15,11.98,3.3,503.23,13.37,2026-08-22T11:00:00
2026-08-22T15:42:41.346921+00:00,4.18,2026-08-22T17:30:00,2.94,2026-08-22T17:30:00,51.0,2026-08-22T17:30:00,0.0,0.0,0.0,18.4,,,2.28,2026-08-22T17:30:00,79.0,2026-08-22T17:30:00,875.46,2026-08-22T17:30:00,0.0,0.0,13.4,0.2,0.2,0.975,2026-08-22T17:30:00,58.0,2026-08-22T17:30:00,0.0,0.0,2026-08-22T17:25:00,0.0,2026-08-22T17:25:00,0.0,2026-08-22T17:30:00,0.1,0.1,0.0,0.0,0.0,0.0,4.6,4.6,0.0,0.0,0.0,0.0,0.319,0.197,0.15,0.333,0.302,0.195,0.155,0.284,2026-08-22T15:00,58.0,2026-08-22T17:30:00,0.884,2026-08-22T17:30:00,53.0,2026-08-22T17:30:00,1.36,2026-08-21T23:30:00,32.0,2026-08-21T23:30:00,0.678,2026-08-22T17:30:00,35.0,2026-08-22T17:30:00,2.23,2026-08-22T17:30:00,36.0,2026-08-22T17:30:00,2026-08-22,0.27,0.0,0.03,2.88,0.3,0.15,12.52,3.3,503.23,13.37,2026-08-22T11:00:00
2026-08-22T15:54:10.068678+00:00,4.18,2026-08-22T17:45:00,2.94,2026-08-22T17:45:00,51.0,2026-08-22T17:45:00,0.0,0.0,0.0,18.4,,,2.28,2026-08-22T17:45:00,79.0,2026-08-22T17:45:00,875.46,2026-08-22T17:45:00,0.0,0.0,13.6,0.2,0.2,0.975,2026-08-22T17:45:00,58.0,2026-08-22T17:45:00,0.0,0.0,2026-08-22T17:40:00,0.0,2026-08-22T17:25:00,0.0,2026-08-22T17:45:00,0.1,0.1,0.0,0.0,0.0,0.0,4.6,4.6,0.0,0.0,0.0,0.0,0.319,0.197,0.15,0.333,0.302,0.195,0.155,0.284,2026-08-22T15:00,58.0,2026-08-22T17:45:00,0.884,2026-08-22T17:45:00,53.0,2026-08-22T17:45:00,1.36,2026-08-21T23:30:00,32.0,2026-08-21T23:30:00,0.678,2026-08-22T17:45:00,35.0,2026-08-22T17:45:00,2.07,2026-08-22T17:45:00,35.0,2026-08-22T17:45:00,2026-08-22,0.27,0.0,0.0,1.4,0.22,0.15,1.51,7.65,503.23,13.37,2026-08-22T11:00:00
2026-08-22T16:10:28.671388+00:00,4.18,2026-08-22T18:00:00,2.94,2026-08-22T18:00:00,51.0,2026-08-22T18:00:00,0.0,0.0,0.0,18.2,,,2.28,2026-08-22T18:00:00,79.0,2026-08-22T18:00:00,875.46,2026-08-22T18:00:00,0.0,0.0,13.7,0.2,0.2,0.975,2026-08-22T18:00:00,58.0,2026-08-22T18:00:00,0.0,0.0,2026-08-22T17:55:00,0.0,2026-08-22T17:55:00,0.0,2026-08-22T18:00:00,0.1,0.1,0.0,0.0,0.0,0.0,4.6,4.6,0.0,0.0,0.0,0.0,0.315,0.197,0.15,0.333,0.298,0.195,0.155,0.284,2026-08-22T16:00,58.0,2026-08-22T18:00:00,0.884,2026-08-22T18:00:00,53.0,2026-08-22T18:00:00,1.36,2026-08-21T23:30:00,32.0,2026-08-21T23:30:00,0.678,2026-08-22T18:00:00,35.0,2026-08-22T18:00:00,2.07,2026-08-22T18:00:00,35.0,2026-08-22T18:00:00,2026-08-22,0.27,0.0,0.0,1.4,0.22,0.15,1.51,7.65,503.23,13.37,2026-08-22T11:00:00
2026-08-22T16:15:00+00:00,4.18,2026-08-22T18:15:00,3.1,2026-08-22T18:15:00,52.0,2026-08-22T18:15:00,0.0,0.0,0.0,17.7,,,2.28,2026-08-22T18:15:00,79.0,2026-08-22T18:15:00,,,0.0,0.0,14.9,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.312,0.202,0.15,0.333,0.295,0.196,0.155,0.284,,58.0,2026-08-22T18:15:00,0.884,2026-08-22T18:15:00,53.0,2026-08-22T18:15:00,0.601,2026-08-22T18:15:00,22.0,2026-08-22T18:15:00,0.812,2026-08-22T18:15:00,36.0,2026-08-22T18:15:00,2.07,2026-08-22T18:15:00,35.0,2026-08-22T18:15:00,,,,,,,,,,,,
2026-08-22T16:37:44.659147+00:00,4.18,2026-08-22T18:30:00,2.94,2026-08-22T18:30:00,51.0,2026-08-22T18:30:00,0.0,0.0,0.0,17.7,,,2.08,2026-08-22T18:30:00,78.0,2026-08-22T18:30:00,875.46,2026-08-22T18:30:00,0.0,0.0,13.2,0.2,0.2,0.937,2026-08-22T18:30:00,57.0,2026-08-22T18:30:00,0.0,0.0,2026-08-22T18:20:00,0.0,2026-08-22T18:25:00,0.0,2026-08-22T18:25:00,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315,0.197,0.15,0.333,0.298,0.195,0.155,0.284,2026-08-22T16:00,58.0,2026-08-22T18:30:00,0.884,2026-08-22T18:30:00,53.0,2026-08-22T18:30:00,1.36,2026-08-21T23:30:00,32.0,2026-08-21T23:30:00,0.812,2026-08-22T18:30:00,36.0,2026-08-22T18:30:00,2.07,2026-08-22T18:30:00,35.0,2026-08-22T18:30:00,2026-08-22,0.27,0.0,0.0,1.4,0.22,0.15,1.51,7.65,503.23,13.37,2026-08-22T11:00:00
